id,trial,int,judge_t1,resp_blue,resp_red
34,5,0,91,80,58
34,12,96,11,2,92
34,7,96,5,2,94
34,1,3,93,90,71
34,6,3,92,80,88
34,2,6,97,74,82
34,9,96,10,4,99
34,10,96,1,4,97
34,11,98,2,1,97
34,3,3,96,71,81
35,7,100,0,0,100
35,12,100,79,0,64
35,5,0,99,100,76
35,6,0,98,100,76
35,4,0,100,100,81
35,2,0,100,100,64
35,1,0,98,100,70
35,11,100,0,0,100
35,10,87,0,0,100
35,8,100,0,0,66
35,3,0,100,100,15
35,9,100,0,0,100
36,12,85,0,0,100
36,1,0,100,99,65
36,5,0,100,100,66
36,9,94,0,0,100
36,10,90,1,0,100
36,3,0,100,98,86
36,2,0,100,100,93
36,11,83,0,100,13
36,7,71,0,49,100
36,6,0,99,100,92
36,8,81,0,52,100
36,4,0,100,100,93
37,10,0,0,99,0
37,2,3,89,29,29
37,3,0,92,89,86
37,12,98,3,2,99
37,1,1,1,98,71
37,9,99,1,1,98
37,7,99,1,1,100
37,4,24,96,79,1
37,11,99,4,7,96
37,8,97,2,1,96
37,6,0,55,99,1
37,5,0,79,100,0
38,12,99,1,1,99
38,2,3,99,91,66
38,1,1,99,73,58
38,7,100,1,1,99
38,8,86,0,0,90
38,10,99,1,1,100
38,5,0,52,76,31
38,6,1,99,75,62
38,9,99,1,1,100
38,11,100,1,1,99
38,3,1,99,73,70
38,4,1,75,76,79
39,4,100,100,96,67
39,2,100,100,100,75
39,8,100,0,100,79
39,1,98,100,100,75
39,7,100,0,100,85
39,5,100,98,100,83
39,6,99,98,98,78
39,10,100,0,100,77
39,3,21,99,100,81
39,12,0,0,100,88
39,11,100,0,1,100
39,9,0,0,98,86
40,2,98,99,99,72
40,9,0,2,100,100
40,4,99,99,1,99
40,10,65,34,58,99
40,1,99,99,1,100
40,11,1,2,84,66
40,5,99,99,8,99
40,3,1,99,65,99
40,8,1,1,82,99
40,6,99,99,1,99
40,12,1,2,69,100
40,7,1,1,66,99
41,1,2,2,50,98
41,2,2,98,39,97
41,10,82,2,4,98
41,12,98,2,10,96
41,6,1,98,10,99
41,8,74,3,50,50
41,4,20,97,24,74
41,5,2,98,51,87
41,7,98,88,7,94
41,9,50,4,63,36
41,3,3,98,52,95
41,11,96,51,77,52
42,12,86,27,53,59
42,2,40,86,58,68
42,1,0,86,82,42
42,4,0,89,71,60
42,11,0,21,71,48
42,9,100,15,56,81
42,7,87,22,55,72
42,10,95,0,49,73
42,5,100,74,72,52
42,6,0,85,59,60
42,3,3,89,65,56
42,8,0,9,53,63
43,11,78,0,23,83
43,10,87,17,9,90
43,4,29,57,65,36
43,7,66,33,14,60
43,6,2,73,88,11
43,12,94,12,7,81
43,1,3,69,91,19
43,3,2,83,95,8
43,5,19,57,78,38
43,9,87,19,8,79
43,8,97,23,11,73
43,2,11,68,84,28
44,7,100,100,9,79
44,9,100,10,25,100
44,4,2,93,98,79
44,10,93,14,16,100
44,3,1,97,99,70
44,1,0,96,99,81
44,8,43,71,75,65
44,6,0,99,98,74
44,11,98,45,37,99
44,5,0,86,98,69
44,2,0,88,99,73
44,12,98,5,16,98
45,9,65,0,31,82
45,7,98,0,2,99
45,12,100,0,1,99
45,11,100,0,0,100
45,5,0,100,100,0
45,10,100,0,0,100
45,3,0,100,100,0
45,1,0,99,100,0
45,8,100,1,16,81
45,6,0,100,100,0
45,4,0,100,100,0
45,2,0,100,100,0
46,3,100,100,100,73
46,11,100,35,100,74
46,1,25,88,80,86
46,2,100,94,10,100
46,4,12,100,83,100
46,10,14,8,85,100
46,9,0,0,77,100
46,6,100,100,0,100
46,7,100,4,0,100
46,8,0,0,83,100
46,5,100,100,0,100
46,12,100,0,0,100
47,7,80,8,70,12
47,5,26,73,54,51
47,8,9,7,61,42
47,9,59,80,30,77
47,12,43,8,69,54
47,2,94,94,6,98
47,1,5,90,62,68
47,6,3,90,83,57
47,3,17,93,78,63
47,4,4,81,69,78
47,10,16,16,82,54
47,11,38,3,53,87
48,4,100,76,100,23
48,8,0,0,50,50
48,1,100,83,0,100
48,5,0,100,100,51
48,7,0,0,100,100
48,10,100,0,0,100
48,11,100,0,0,100
48,9,100,0,0,100
48,2,100,100,0,100
48,6,0,100,50,50
48,3,0,100,50,49
48,12,0,0,52,50
49,9,98,2,1,99
49,6,1,98,69,99
49,10,99,65,1,100
49,4,1,98,64,98
49,11,98,34,44,100
49,12,99,28,0,98
49,1,1,99,59,100
49,2,2,98,61,100
49,5,0,100,61,100
49,3,0,100,59,100
49,7,98,23,47,98
49,8,98,0,0,100
50,6,0,100,100,0
50,12,100,0,0,100
50,11,86,0,58,76
50,5,0,100,100,0
50,2,0,100,100,0
50,3,0,100,100,0
50,7,100,0,0,100
50,8,100,0,0,100
50,4,0,100,100,0
50,1,0,100,100,4
50,9,100,0,0,100
50,10,100,12,0,100
